ModName,MapId,MapName,Author,CompLevel,Files,Merge,Port,Notes,Coop
Test,E1M1,Test,Jake Stanley,9,test.wad,,,,
Memento Mori,MAP01,The Teleporter,Michiel Rutting and Denis Möller,,MM.WAD|MMMUS.WAD,,,Play the gosh darn music for this one,Supported
Memento Mori,MAP02,The Bridge,David Davidson,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP03,Interlock,Tom Mustaine,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP04,The Stand,Jens Nielsen,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP05,Hell's Kitchen,Orin Flaharty,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP06,The Powerstation,Eric Sargent and Mark Klem,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP07,Not That Simple,Jens Nielsen,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP08,And the Dead Shall Rise,Orin Flaharty,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP09,High-Tech Grave,Thomas Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP10,The Mansion,Alden Bates,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP11,Halls of Insanity,Eric Reuter and Denis Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP12,Kinetics,"Mackey ""Avatar"" McCandlish",,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP13,The Inmost Dens II,Denis Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP14,Aquaduct,Tom Mustaine,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP15,Karmacoma,Florian Helmberger,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP16,Stoned,Kurt Schmid,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP17,House of Thorn,Eric Sambach,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP18,A Dead Man's Town,Henrik Rathje,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP19,Maltraiter,Michael Rapp,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP20,Mountain Depot,Scott Lampert,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP21,Twilight Lab,Andy Badorek,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP22,The Escape,Denis Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP23,Showdown,Milo Casali,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP24,Diehard,Dario Casali,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP25,Cesspool,William Sullivan,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP26,Between Scattered Corpses,Thomas and Denis Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP27,Fort Hades,Scott Lampert,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP28,City of the Unavenged,Jens Nielsen,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP29,Island of Death,Thomas Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP30,Viper,Milo Casali,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP31,Technology Base,Denis Möller,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori,MAP32,The Hidden Slime Factory,Mark Klem,,MM.WAD|MMMUS.WAD,,,,Supported
Memento Mori II,MAP01,Outpost,Denis Möller,3,MM2.WAD|MM2MUS.WAD,,,Ingame demos were recorded with 1.9,Supported
Memento Mori II,MAP02,The Feeding Pit,David Davidson,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP03,...And Hell Beneath,Matthias Worch,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP04,Ratamahatta,Florian Helmberger,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP05,Rites of Passage,Paul Noble,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP06,Trapped,Adam Williamson,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP07,Frustration,David Kuykendall,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP08,Stigmata,Denis Möller,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP09,Sabbath Sewer,Mark Klem,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP10,Clear for Death,Matthias Worch,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP11,Sewer Shutdown,Eric Sargent,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP12,The Waterway,Orin Flaharty,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP13,Devils Paradise,Rhys Hughes,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP14,A Question of Time,Matthias Worch and Thomas Möller,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP15,The Devil's Coterie,Adam Windsor,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP16,The Nephilim,Denis Möller,3,MM2.WAD|MM2MUS.WAD,,,,Supported
